0,"0,0"
1,"0,1"
2,"1,-6"
3,"6,-6"
4,"-1,-5"
5,"0,-5"
6,"1,-5"
7,"2,-5"
8,"3,-5"
9,"4,-5"
10,"5,-5"
11,"6,-5"
12,"-1,-4"
13,"0,-4"
14,"1,-4"
15,"2,-4"
16,"3,-4"
17,"4,-4"
18,"5,-4"
19,"-2,-3"
20,"-1,-3"
21,"0,-3"
22,"1,-3"
23,"2,-3"
24,"3,-3"
25,"4,-3"
26,"5,-3"
27,"-3,-2"
28,"-2,-2"
29,"-1,-2"
30,"0,-2"
31,"1,-2"
32,"2,-2"
33,"3,-2"
34,"4,-2"
35,"5,-2"
36,"-5,-1"
37,"-4,-1"
38,"-3,-1"
39,"-2,-1"
40,"-1,-1"
41,"0,-1"
42,"1,-1"
43,"2,-1"
44,"3,-1"
45,"4,-1"
46,"5,-1"
47,"6,-1"
48,"-6,0"
49,"-5,0"
50,"-4,0"
51,"-3,0"
52,"-2,0"
53,"-1,0"
54,"0,0"
55,"1,0"
56,"2,0"
57,"3,0"
58,"4,0"
59,"5,0"
60,"6,0"
61,"-6,1"
62,"-5,1"
63,"-4,1"
64,"-3,1"
65,"-2,1"
66,"-1,1"
67,"0,1"
68,"1,1"
69,"2,1"
70,"3,1"
71,"4,1"
72,"5,1"
73,"-5,2"
74,"-4,2"
75,"-3,2"
76,"-2,2"
77,"-1,2"
78,"0,2"
79,"1,2"
80,"2,2"
81,"3,2"
82,"-5,3"
83,"-4,3"
84,"-3,3"
85,"-2,3"
86,"-1,3"
87,"0,3"
88,"1,3"
89,"2,3"
90,"-5,4"
91,"-4,4"
92,"-3,4"
93,"-2,4"
94,"-1,4"
95,"0,4"
96,"1,4"
97,"-6,5"
98,"-5,5"
99,"-4,5"
100,"-3,5"
101,"-2,5"
102,"-1,5"
103,"0,5"
104,"1,5"
105,"-6,6"
106,"-5,6"
107,"-1,6"
108,"0,6"
