shape,x1,y1,x2,y2,x3,y3,id
triangle,400.0,100.0,362.5,162.5,437.5,162.5,1
triangle,362.5,162.5,325.0,225.0,400.0,225.0,2
triangle,437.5,162.5,400.0,225.0,475.0,225.0,3
triangle,362.5,162.5,437.5,162.5,400.0,225.0,4
triangle,325.0,225.0,287.5,287.5,362.5,287.5,5
triangle,287.5,287.5,250.0,350.0,325.0,350.0,6
triangle,362.5,287.5,325.0,350.0,400.0,350.0,7
triangle,287.5,287.5,362.5,287.5,325.0,350.0,8
triangle,475.0,225.0,437.5,287.5,512.5,287.5,9
triangle,437.5,287.5,400.0,350.0,475.0,350.0,10
triangle,512.5,287.5,475.0,350.0,550.0,350.0,11
triangle,437.5,287.5,512.5,287.5,475.0,350.0,12
triangle,325.0,225.0,400.0,225.0,362.5,287.5,13
triangle,400.0,225.0,475.0,225.0,437.5,287.5,14
triangle,362.5,287.5,437.5,287.5,400.0,350.0,15
triangle,400.0,225.0,362.5,287.5,437.5,287.5,16
triangle,250.0,350.0,212.5,412.5,287.5,412.5,17
triangle,212.5,412.5,175.0,475.0,250.0,475.0,18
triangle,287.5,412.5,250.0,475.0,325.0,475.0,19
triangle,212.5,412.5,287.5,412.5,250.0,475.0,20
triangle,175.0,475.0,137.5,537.5,212.5,537.5,21
triangle,137.5,537.5,100.0,600.0,175.0,600.0,22
triangle,212.5,537.5,175.0,600.0,250.0,600.0,23
triangle,137.5,537.5,212.5,537.5,175.0,600.0,24
triangle,325.0,475.0,287.5,537.5,362.5,537.5,25
triangle,287.5,537.5,250.0,600.0,325.0,600.0,26
triangle,362.5,537.5,325.0,600.0,400.0,600.0,27
triangle,287.5,537.5,362.5,537.5,325.0,600.0,28
triangle,175.0,475.0,250.0,475.0,212.5,537.5,29
triangle,250.0,475.0,325.0,475.0,287.5,537.5,30
triangle,212.5,537.5,287.5,537.5,250.0,600.0,31
triangle,250.0,475.0,212.5,537.5,287.5,537.5,32
triangle,550.0,350.0,512.5,412.5,587.5,412.5,33
triangle,512.5,412.5,475.0,475.0,550.0,475.0,34
triangle,587.5,412.5,550.0,475.0,625.0,475.0,35
triangle,512.5,412.5,587.5,412.5,550.0,475.0,36
triangle,475.0,475.0,437.5,537.5,512.5,537.5,37
triangle,437.5,537.5,400.0,600.0,475.0,600.0,38
triangle,512.5,537.5,475.0,600.0,550.0,600.0,39
triangle,437.5,537.5,512.5,537.5,475.0,600.0,40
triangle,625.0,475.0,587.5,537.5,662.5,537.5,41
triangle,587.5,537.5,550.0,600.0,625.0,600.0,42
triangle,662.5,537.5,625.0,600.0,700.0,600.0,43
triangle,587.5,537.5,662.5,537.5,625.0,600.0,44
triangle,475.0,475.0,550.0,475.0,512.5,537.5,45
triangle,550.0,475.0,625.0,475.0,587.5,537.5,46
triangle,512.5,537.5,587.5,537.5,550.0,600.0,47
triangle,550.0,475.0,512.5,537.5,587.5,537.5,48
triangle,250.0,350.0,325.0,350.0,287.5,412.5,49
triangle,325.0,350.0,400.0,350.0,362.5,412.5,50
triangle,287.5,412.5,362.5,412.5,325.0,475.0,51
triangle,325.0,350.0,287.5,412.5,362.5,412.5,52
triangle,400.0,350.0,475.0,350.0,437.5,412.5,53
triangle,475.0,350.0,550.0,350.0,512.5,412.5,54
triangle,437.5,412.5,512.5,412.5,475.0,475.0,55
triangle,475.0,350.0,437.5,412.5,512.5,412.5,56
triangle,325.0,475.0,400.0,475.0,362.5,537.5,57
triangle,400.0,475.0,475.0,475.0,437.5,537.5,58
triangle,362.5,537.5,437.5,537.5,400.0,600.0,59
triangle,400.0,475.0,362.5,537.5,437.5,537.5,60
triangle,400.0,350.0,362.5,412.5,437.5,412.5,61
triangle,362.5,412.5,325.0,475.0,400.0,475.0,62
triangle,437.5,412.5,400.0,475.0,475.0,475.0,63
triangle,362.5,412.5,437.5,412.5,400.0,475.0,64
