shape,x1,y1,x2,y2,x3,y3,id
triangle,400.0,100.0,381.25,131.25,418.75,131.25,0
triangle,381.25,131.25,362.5,162.5,400.0,162.5,1
triangle,418.75,131.25,400.0,162.5,437.5,162.5,2
triangle,381.25,131.25,418.75,131.25,400.0,162.5,3
triangle,362.5,162.5,343.75,193.75,381.25,193.75,4
triangle,343.75,193.75,325.0,225.0,362.5,225.0,5
triangle,381.25,193.75,362.5,225.0,400.0,225.0,6
triangle,343.75,193.75,381.25,193.75,362.5,225.0,7
triangle,437.5,162.5,418.75,193.75,456.25,193.75,8
triangle,418.75,193.75,400.0,225.0,437.5,225.0,9
triangle,456.25,193.75,437.5,225.0,475.0,225.0,10
triangle,418.75,193.75,456.25,193.75,437.5,225.0,11
triangle,362.5,162.5,400.0,162.5,381.25,193.75,12
triangle,400.0,162.5,437.5,162.5,418.75,193.75,13
triangle,381.25,193.75,418.75,193.75,400.0,225.0,14
triangle,400.0,162.5,381.25,193.75,418.75,193.75,15
triangle,325.0,225.0,306.25,256.25,343.75,256.25,16
triangle,306.25,256.25,287.5,287.5,325.0,287.5,17
triangle,343.75,256.25,325.0,287.5,362.5,287.5,18
triangle,306.25,256.25,343.75,256.25,325.0,287.5,19
triangle,287.5,287.5,268.75,318.75,306.25,318.75,20
triangle,268.75,318.75,250.0,350.0,287.5,350.0,21
triangle,306.25,318.75,287.5,350.0,325.0,350.0,22
triangle,268.75,318.75,306.25,318.75,287.5,350.0,23
triangle,362.5,287.5,343.75,318.75,381.25,318.75,24
triangle,343.75,318.75,325.0,350.0,362.5,350.0,25
triangle,381.25,318.75,362.5,350.0,400.0,350.0,26
triangle,343.75,318.75,381.25,318.75,362.5,350.0,27
triangle,287.5,287.5,325.0,287.5,306.25,318.75,28
triangle,325.0,287.5,362.5,287.5,343.75,318.75,29
triangle,306.25,318.75,343.75,318.75,325.0,350.0,30
triangle,325.0,287.5,306.25,318.75,343.75,318.75,31
triangle,475.0,225.0,456.25,256.25,493.75,256.25,32
triangle,456.25,256.25,437.5,287.5,475.0,287.5,33
triangle,493.75,256.25,475.0,287.5,512.5,287.5,34
triangle,456.25,256.25,493.75,256.25,475.0,287.5,35
triangle,437.5,287.5,418.75,318.75,456.25,318.75,36
triangle,418.75,318.75,400.0,350.0,437.5,350.0,37
triangle,456.25,318.75,437.5,350.0,475.0,350.0,38
triangle,418.75,318.75,456.25,318.75,437.5,350.0,39
triangle,512.5,287.5,493.75,318.75,531.25,318.75,40
triangle,493.75,318.75,475.0,350.0,512.5,350.0,41
triangle,531.25,318.75,512.5,350.0,550.0,350.0,42
triangle,493.75,318.75,531.25,318.75,512.5,350.0,43
triangle,437.5,287.5,475.0,287.5,456.25,318.75,44
triangle,475.0,287.5,512.5,287.5,493.75,318.75,45
triangle,456.25,318.75,493.75,318.75,475.0,350.0,46
triangle,475.0,287.5,456.25,318.75,493.75,318.75,47
triangle,325.0,225.0,362.5,225.0,343.75,256.25,48
triangle,362.5,225.0,400.0,225.0,381.25,256.25,49
triangle,343.75,256.25,381.25,256.25,362.5,287.5,50
triangle,362.5,225.0,343.75,256.25,381.25,256.25,51
triangle,400.0,225.0,437.5,225.0,418.75,256.25,52
triangle,437.5,225.0,475.0,225.0,456.25,256.25,53
triangle,418.75,256.25,456.25,256.25,437.5,287.5,54
triangle,437.5,225.0,418.75,256.25,456.25,256.25,55
triangle,362.5,287.5,400.0,287.5,381.25,318.75,56
triangle,400.0,287.5,437.5,287.5,418.75,318.75,57
triangle,381.25,318.75,418.75,318.75,400.0,350.0,58
triangle,400.0,287.5,381.25,318.75,418.75,318.75,59
triangle,400.0,225.0,381.25,256.25,418.75,256.25,60
triangle,381.25,256.25,362.5,287.5,400.0,287.5,61
triangle,418.75,256.25,400.0,287.5,437.5,287.5,62
triangle,381.25,256.25,418.75,256.25,400.0,287.5,63
triangle,250.0,350.0,231.25,381.25,268.75,381.25,64
triangle,231.25,381.25,212.5,412.5,250.0,412.5,65
triangle,268.75,381.25,250.0,412.5,287.5,412.5,66
triangle,231.25,381.25,268.75,381.25,250.0,412.5,67
triangle,212.5,412.5,193.75,443.75,231.25,443.75,68
triangle,193.75,443.75,175.0,475.0,212.5,475.0,69
triangle,231.25,443.75,212.5,475.0,250.0,475.0,70
triangle,193.75,443.75,231.25,443.75,212.5,475.0,71
triangle,287.5,412.5,268.75,443.75,306.25,443.75,72
triangle,268.75,443.75,250.0,475.0,287.5,475.0,73
triangle,306.25,443.75,287.5,475.0,325.0,475.0,74
